,commit_hash,file_path,filename,action,changes
0,0c18189bc79e33cad393e727dfe09cd41c2e6622,debezium-quarkus-outbox/runtime/src/main/resources/META-INF/quarkus-extension.yaml,quarkus-extension.yaml,5,"{'added': [(3, 'description: ""Implement the outbox pattern for reliable microservices data exchange with Debezium and change data capture""')], 'deleted': [(3, 'description: ""Use outbox pattern with Debezium""')]}"
1,992ae537c8dea0302d82fde8e3d7c74c92b9844a,debezium-connector-mysql/src/test/resources/ddl/incremental_snapshot-test.sql,incremental_snapshot-test.sql,3,"{'added': [], 'deleted': []}"
2,aa3ae05e226bdb833e846b548900dd4d59788623,debezium-connector-mysql/src/test/resources/ddl/incremental_snapshot_test.sql,incremental_snapshot_test.sql,5,"{'added': [(15, 'CREATE TABLE a4 ('), (16, '  pk1 integer,'), (17, '  pk2 integer,'), (18, '  pk3 integer,'), (19, '  pk4 integer,'), (20, '  aa integer,'), (21, '  PRIMARY KEY(pk1, pk2, pk3, pk4)'), (22, ');'), (23, ''), (24, 'CREATE TABLE a42 ('), (25, '  pk1 integer,'), (26, '  pk2 integer,'), (27, '  pk3 integer,'), (28, '  pk4 integer,'), (29, '  aa integer'), (30, ');'), (31, '')], 'deleted': []}"
3,776a93f7b2afa8cd074347a72932721ebda8ee76,debezium-testing/debezium-testing-system/src/test/resources/kafka-resources/v1beta2/010-kafka.yaml,010-kafka.yaml,5,"{'added': [(31, '    version: ${version.strimzi.kafka}')], 'deleted': [(31, '    version: ${version.kafka}')]}"
4,776a93f7b2afa8cd074347a72932721ebda8ee76,debezium-testing/debezium-testing-system/src/test/resources/kafka-resources/v1beta2/021-kafka-connect.yaml,021-kafka-connect.yaml,5,"{'added': [(6, '  version: ${version.strimzi.kafka}')], 'deleted': [(6, '  version: ${version.kafka}')]}"
5,776a93f7b2afa8cd074347a72932721ebda8ee76,debezium-testing/debezium-testing-system/src/test/resources/kafka-resources/v1beta2/121-kafka-connect-build.yaml,121-kafka-connect-build.yaml,5,"{'added': [(6, '  version: ${version.strimzi.kafka}')], 'deleted': [(6, '  version: ${version.kafka}')]}"
6,954b81a75f9e1793a44880384bc6305229b9b80a,debezium-connector-oracle/src/test/resources/log4j.properties,log4j.properties,5,"{'added': [(16, 'log4j.logger.io.debezium.connector.oracle.logminer.processor=TRACE')], 'deleted': []}"
7,858d3e0f957d84b3ebc8d8cf9db4027405ad8db2,debezium-testing/debezium-testing-system/src/test/resources/kafka-resources/v1beta2/020-kafka-connect-cfg.yaml,020-kafka-connect-cfg.yaml,5,"{'added': [(16, '    # Debezium logging'), (17, '    log4j.logger.io.debezium=${strimzi.kc.log.level.dbz}'), (18, '')], 'deleted': []}"
8,303183874fae9bf05a7df9b0000c619530dd1d5d,debezium-testing/debezium-testing-system/src/test/resources/database-resources/oracle/deployment.yaml,deployment.yaml,1,"{'added': [(1, 'kind: Deployment'), (2, 'apiVersion: apps/v1'), (3, 'metadata:'), (4, '  name: oracle'), (5, '  labels:'), (6, '    app: oracle'), (7, 'spec:'), (8, '  replicas: 1'), (9, '  selector:'), (10, '    matchLabels:'), (11, '      app: oracle'), (12, '      deployment: oracle'), (13, '  template:'), (14, '    metadata:'), (15, '      labels:'), (16, '        app: oracle'), (17, '        deployment: oracle'), (18, '    spec:'), (19, '      containers:'), (20, '        - resources: {}'), (21, '          name: oracle'), (22, '          ports:'), (23, '            - containerPort: 1521'), (24, '              protocol: TCP'), (25, '          imagePullPolicy: Always'), (26, '          livenessProbe:'), (27, '            initialDelaySeconds: 30'), (28, '            tcpSocket:'), (29, '              port: 1521'), (30, '            timeoutSeconds: 300'), (31, '          readinessProbe:'), (32, '            initialDelaySeconds: 30'), (33, '            tcpSocket:'), (34, '              port: 1521'), (35, '            timeoutSeconds: 300'), (36, '          terminationMessagePolicy: File'), (37, '          terminationMessagePath: /dev/termination-log'), (38, '          image: ${ocp.image.oracle}'), (39, '      restartPolicy: Always'), (40, '      terminationGracePeriodSeconds: 30'), (41, '      dnsPolicy: ClusterFirst'), (42, '  strategy:'), (43, '    type: Recreate')], 'deleted': []}"
9,303183874fae9bf05a7df9b0000c619530dd1d5d,debezium-testing/debezium-testing-system/src/test/resources/database-resources/oracle/inventory.sql,inventory.sql,1,"{'added': [(1, '-- Create and populate our products using a single insert with many rows'), (2, 'CREATE TABLE products ('), (3, '  id NUMBER(4) GENERATED BY DEFAULT ON NULL AS IDENTITY (START WITH 101) NOT NULL PRIMARY KEY,'), (4, '  name VARCHAR2(255) NOT NULL,'), (5, '  description VARCHAR2(512),'), (6, '  weight FLOAT'), (7, ');'), (8, 'GRANT SELECT ON products to c##dbzuser;'), (9, 'ALTER TABLE products ADD SUPPLEMENTAL LOG DATA (ALL) COLUMNS;'), (10, ''), (11, 'INSERT INTO products'), (12, ""  VALUES (NULL,'scooter','Small 2-wheel scooter',3.14);""), (13, 'INSERT INTO products'), (14, ""  VALUES (NULL,'car battery','12V car battery',8.1);""), (15, 'INSERT INTO products'), (16, ""  VALUES (NULL,'12-pack drill bits','12-pack of drill bits with sizes ranging from #40 to #3',0.8);""), (17, 'INSERT INTO products'), (18, ""  VALUES (NULL,'hammer','12oz carpenter''s hammer',0.75);""), (19, 'INSERT INTO products'), (20, ""  VALUES (NULL,'hammer','14oz carpenter''s hammer',0.875);""), (21, 'INSERT INTO products'), (22, ""  VALUES (NULL,'hammer','16oz carpenter''s hammer',1.0);""), (23, 'INSERT INTO products'), (24, ""  VALUES (NULL,'rocks','box of assorted rocks',5.3);""), (25, 'INSERT INTO products'), (26, ""  VALUES (NULL,'jacket','water resistent black wind breaker',0.1);""), (27, 'INSERT INTO products'), (28, ""  VALUES (NULL,'spare tire','24 inch spare tire',22.2);""), (29, ''), (30, '-- Create and populate the products on hand using multiple inserts'), (31, 'CREATE TABLE products_on_hand ('), (32, '  product_id NUMBER(4) NOT NULL PRIMARY KEY,'), (33, '  quantity NUMBER(4) NOT NULL,'), (34, '  FOREIGN KEY (product_id) REFERENCES products(id)'), (35, ');'), (36, 'GRANT SELECT ON products_on_hand to c##dbzuser;'), (37, 'ALTER TABLE products_on_hand ADD SUPPLEMENTAL LOG DATA (ALL) COLUMNS;'), (38, ''), (39, 'INSERT INTO products_on_hand VALUES (101,3);'), (40, 'INSERT INTO products_on_hand VALUES (102,8);'), (41, 'INSERT INTO products_on_hand VALUES (103,18);'), (42, 'INSERT INTO products_on_hand VALUES (104,4);'), (43, 'INSERT INTO products_on_hand VALUES (105,5);'), (44, 'INSERT INTO products_on_hand VALUES (106,0);'), (45, 'INSERT INTO products_on_hand VALUES (107,44);'), (46, 'INSERT INTO products_on_hand VALUES (108,2);'), (47, 'INSERT INTO products_on_hand VALUES (109,5);'), (48, ''), (49, '-- Create some customers ...'), (50, 'CREATE TABLE customers ('), (51, '  id NUMBER(4) GENERATED BY DEFAULT ON NULL AS IDENTITY (START WITH 1001) NOT NULL PRIMARY KEY,'), (52, '  first_name VARCHAR2(255) NOT NULL,'), (53, '  last_name VARCHAR2(255) NOT NULL,'), (54, '  email VARCHAR2(255) NOT NULL UNIQUE'), (55, ');'), (56, 'GRANT SELECT ON customers to c##dbzuser;'), (57, 'ALTER TABLE customers ADD SUPPLEMENTAL LOG DATA (ALL) COLUMNS;'), (58, ''), (59, 'INSERT INTO customers'), (60, ""  VALUES (NULL,'Sally','Thomas','sally.thomas@acme.com');""), (61, 'INSERT INTO customers'), (62, ""  VALUES (NULL,'George','Bailey','gbailey@foobar.com');""), (63, 'INSERT INTO customers'), (64, ""  VALUES (NULL,'Edward','Walker','ed@walker.com');""), (65, 'INSERT INTO customers'), (66, ""  VALUES (NULL,'Anne','Kretchmar','annek@noanswer.org');""), (67, ''), (68, '-- Create some very simple orders'), (69, 'CREATE TABLE debezium.orders ('), (70, '  id NUMBER(6) GENERATED BY DEFAULT ON NULL AS IDENTITY (START WITH 10001) NOT NULL PRIMARY KEY,'), (71, '  order_date DATE NOT NULL,'), (72, '  purchaser NUMBER(4) NOT NULL,'), (73, '  quantity NUMBER(4) NOT NULL,'), (74, '  product_id NUMBER(4) NOT NULL,'), (75, '  FOREIGN KEY (purchaser) REFERENCES customers(id),'), (76, '  FOREIGN KEY (product_id) REFERENCES products(id)'), (77, ');'), (78, 'GRANT SELECT ON orders to c##dbzuser;'), (79, 'ALTER TABLE orders ADD SUPPLEMENTAL LOG DATA (ALL) COLUMNS;'), (80, ''), (81, 'INSERT INTO orders'), (82, ""  VALUES (NULL, '16-JAN-2016', 1001, 1, 102);""), (83, 'INSERT INTO orders'), (84, ""  VALUES (NULL, '17-JAN-2016', 1002, 2, 105);""), (85, 'INSERT INTO orders'), (86, ""  VALUES (NULL, '19-FEB-2016', 1002, 2, 106);""), (87, 'INSERT INTO orders'), (88, ""  VALUES (NULL, '21-FEB-2016', 1003, 1, 107);"")], 'deleted': []}"
