repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
iluwatar/java-design-patterns,101,71084,827,3173,https://github.com/iluwatar/java-design-patterns.git,2674cb9523a60cb99329601d39bf0f304c841d2a,master,99.044914127393
google/guava,101,42818,1998,5663,https://github.com/google/guava.git,922cde05ff9f2749822385a403b0277fbea96650,master,99.94795487141043
zxing/zxing,101,28618,411,3621,https://github.com/zxing/zxing.git,c25029d29ad28c488db7166c5eaaf798c5ed2667,master,96.03524520269958
eugenp/tutorials,101,28070,13840,23182,https://github.com/eugenp/tutorials.git,41c8af76d2c9474104bb634b550cc329690a7549,master,78.49325143717876
alibaba/arthas,101,27616,152,1659,https://github.com/alibaba/arthas.git,3792ca30878544177ee458fa7a2c00f0c8d504e8,master,54.304022635235214
apolloconfig/apollo,101,25873,836,2618,https://github.com/apolloconfig/apollo.git,b00f23873bd2306df1fb7ae6d7b9b2e2230f401e,master,78.86241990661127
alibaba/druid,101,24749,1971,6498,https://github.com/alibaba/druid.git,3b4e77034a6244ba8f78ddc26952e43f4dd26ab6,master,97.56320111355498
alibaba/fastjson,101,23924,2629,3933,https://github.com/alibaba/fastjson.git,869746101f6dd73b70d8a9c2b6dc59de4352519e,master,99.87358088476849
xkcoding/spring-boot-demo,101,23913,155,733,https://github.com/xkcoding/spring-boot-demo.git,f10dc0a45be84e89acb48f6cf259620f52838b6e,master,86.76204074131667
alibaba/easyexcel,101,21732,257,764,https://github.com/alibaba/easyexcel.git,f8fd5f0427f04574c6d672615e8256c603e0b172,master,100.0
alibaba/canal,101,21131,264,1464,https://github.com/alibaba/canal.git,b54bea5e3337c9597c427a53071d214ff04628d1,master,94.63931095289885
alibaba/spring-cloud-alibaba,101,20576,119,1838,https://github.com/alibaba/spring-cloud-alibaba.git,1a146c726efcc7eccce508cb7251a88bc2fe1ce4,master,99.82999719735076
google/gson,101,20252,130,1602,https://github.com/google/gson.git,6e06bf0d89ad71f317c920cdaf9981a0508446d3,master,100.0
apache/skywalking,101,18102,490,6827,https://github.com/apache/skywalking.git,4284a57501eae6df49cb2703f31cc6f30d43367e,master,98.45235477189172
jenkinsci/jenkins,101,18049,3171,31695,https://github.com/jenkinsci/jenkins.git,81915fba4b205dde5bb51728fb5ec50d15ab3314,master,85.6011869663131
alibaba/Sentinel,101,17807,498,713,https://github.com/alibaba/Sentinel.git,0a34fc4d11392f0587e7ba5bf2626f902b23c750,master,89.58987447438032
redisson/redisson,101,17739,2413,6904,https://github.com/redisson/redisson.git,fdcb943828c568d8ef599d66f6493fc100fc8e02,master,100.0
apache/flink,101,17503,15378,28849,https://github.com/apache/flink.git,23e8c8ce62e50d478cb55bee2288a4a35af83d4f,master,85.46620557156504
mybatis/mybatis-3,101,16452,1596,3869,https://github.com/mybatis/mybatis-3.git,a2cdac6f76645619b1c09785000f1eaa7830b280,master,99.39876278253851
apache/rocketmq,101,15844,795,1844,https://github.com/apache/rocketmq.git,df4e98855d461d85e9c4ed43add1b12a58bca7b6,master,98.74837048794764
