repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
alibaba/druid,101,24749,1971,6498,https://github.com/alibaba/druid.git,3b4e77034a6244ba8f78ddc26952e43f4dd26ab6,master,97.56320111355498
dbeaver/dbeaver,101,23148,216,21345,https://github.com/dbeaver/dbeaver.git,2e1a4eda8b071a86a9a50e5fea6e49743d9e9a75,master,98.9398671409191
eclipse-vertx/vert.x,101,12482,3264,5194,https://github.com/eclipse-vertx/vert.x.git,3c494da0a4a854e52ee64f3571dc054d3d1d8ae3,master,99.99662306146261
apache/zookeeper,101,9962,1314,2368,https://github.com/apache/zookeeper.git,864b8a7c8044349b29b0e67952323a8cb2bc2dd4,master,75.20152203819424
Activiti/Activiti,101,8159,727,10768,https://github.com/Activiti/Activiti.git,f9351cc5b978942a31629283003bf564c158fd70,master,99.7512094503742
debezium/debezium,101,5625,2152,5811,https://github.com/debezium/debezium.git,39ecc4e732484f9fe6de6cfd9efd8174f7a3b063,main,93.98186369298858
languagetool-org/languagetool,101,5535,1299,53045,https://github.com/languagetool-org/languagetool.git,a76e5ab4938c8d058415b95782952ba1e89c7634,master,90.08040097652793
mapstruct/mapstruct,101,4567,1196,1500,https://github.com/mapstruct/mapstruct.git,735a5bef6a36644a48bfc5bebde31e217574551c,master,98.29098998931318
google/google-java-format,101,4210,243,619,https://github.com/google/google-java-format.git,7edc0481efc52d0519034d5d14342462c193e922,master,98.3064898684189
brianfrankcooper/YCSB,101,3868,162,1299,https://github.com/brianfrankcooper/YCSB.git,ce3eb9ce51c84ee9e236998cdd2cefaeb96798a8,master,97.74740559557998
apache/maven,101,2828,1015,11494,https://github.com/apache/maven.git,0a72185a6e929de537bdd67ac1cb5ba267c20a5f,master,99.56534854176545
RipMeApp/ripme,101,2702,245,2587,https://github.com/RipMeApp/ripme.git,f5a2167f0af0b8d13d199c4ed6838703dfc0134d,master,98.78420080102802
wildfly/wildfly,101,2654,4801,33113,https://github.com/wildfly/wildfly.git,3ac21029b404c29b383f9c86869dc61307dd006f,main,99.19442790270764
oracle/helidon,101,2536,4250,2124,https://github.com/oracle/helidon.git,57fde8fe429476aeef578b986074ce0e7a2111b7,master,98.90192164896085
