,repo_name,clone_url
iluwatar/java-design-patterns,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns.git
eugenp/tutorials,eugenp/tutorials,https://github.com/eugenp/tutorials.git
apolloconfig/apollo,apolloconfig/apollo,https://github.com/apolloconfig/apollo.git
jenkinsci/jenkins,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins.git
apache/flink,apache/flink,https://github.com/apache/flink.git
prestodb/presto,prestodb/presto,https://github.com/prestodb/presto.git
apache/hadoop,apache/hadoop,https://github.com/apache/hadoop.git
pinpoint-apm/pinpoint,pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint.git
apache/druid,apache/druid,https://github.com/apache/druid.git
google/guice,google/guice,https://github.com/google/guice.git
apache/pulsar,apache/pulsar,https://github.com/apache/pulsar.git
apache/dolphinscheduler,apache/dolphinscheduler,https://github.com/apache/dolphinscheduler.git
Graylog2/graylog2-server,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server.git
google/error-prone,google/error-prone,https://github.com/google/error-prone.git
apache/zeppelin,apache/zeppelin,https://github.com/apache/zeppelin.git
sofastack/sofa-boot,sofastack/sofa-boot,https://github.com/sofastack/sofa-boot.git
trinodb/trino,trinodb/trino,https://github.com/trinodb/trino.git
