,repo_name,clone_url
iluwatar/java-design-patterns,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns.git
apache/dubbo,apache/dubbo,https://github.com/apache/dubbo.git
zxing/zxing,zxing/zxing,https://github.com/zxing/zxing.git
eugenp/tutorials,eugenp/tutorials,https://github.com/eugenp/tutorials.git
alibaba/arthas,alibaba/arthas,https://github.com/alibaba/arthas.git
apolloconfig/apollo,apolloconfig/apollo,https://github.com/apolloconfig/apollo.git
alibaba/druid,alibaba/druid,https://github.com/alibaba/druid.git
xkcoding/spring-boot-demo,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo.git
alibaba/fastjson,alibaba/fastjson,https://github.com/alibaba/fastjson.git
alibaba/easyexcel,alibaba/easyexcel,https://github.com/alibaba/easyexcel.git
alibaba/canal,alibaba/canal,https://github.com/alibaba/canal.git
seata/seata,seata/seata,https://github.com/seata/seata.git
alibaba/spring-cloud-alibaba,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba.git
alibaba/nacos,alibaba/nacos,https://github.com/alibaba/nacos.git
apache/skywalking,apache/skywalking,https://github.com/apache/skywalking.git
jenkinsci/jenkins,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins.git
alibaba/Sentinel,alibaba/Sentinel,https://github.com/alibaba/Sentinel.git
redisson/redisson,redisson/redisson,https://github.com/redisson/redisson.git
openzipkin/zipkin,openzipkin/zipkin,https://github.com/openzipkin/zipkin.git
apache/shardingsphere,apache/shardingsphere,https://github.com/apache/shardingsphere.git
prestodb/presto,prestodb/presto,https://github.com/prestodb/presto.git
YunaiV/SpringBoot-Labs,YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs.git
eclipse/deeplearning4j,eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j.git
pinpoint-apm/pinpoint,pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint.git
google/guice,google/guice,https://github.com/google/guice.git
keycloak/keycloak,keycloak/keycloak,https://github.com/keycloak/keycloak.git
thingsboard/thingsboard,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard.git
codecentric/spring-boot-admin,codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin.git
OpenAPITools/openapi-generator,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator.git
apache/pulsar,apache/pulsar,https://github.com/apache/pulsar.git
quarkusio/quarkus,quarkusio/quarkus,https://github.com/quarkusio/quarkus.git
Activiti/Activiti,Activiti/Activiti,https://github.com/Activiti/Activiti.git
OpenFeign/feign,OpenFeign/feign,https://github.com/OpenFeign/feign.git
apache/shardingsphere-elasticjob,apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git
alibaba/otter,alibaba/otter,https://github.com/alibaba/otter.git
apache/dolphinscheduler,apache/dolphinscheduler,https://github.com/apache/dolphinscheduler.git
abel533/Mapper,abel533/Mapper,https://github.com/abel533/Mapper.git
apache/storm,apache/storm,https://github.com/apache/storm.git
weibocom/motan,weibocom/motan,https://github.com/weibocom/motan.git
sohutv/cachecloud,sohutv/cachecloud,https://github.com/sohutv/cachecloud.git
rest-assured/rest-assured,rest-assured/rest-assured,https://github.com/rest-assured/rest-assured.git
apache/zeppelin,apache/zeppelin,https://github.com/apache/zeppelin.git
apache/incubator-shenyu,apache/incubator-shenyu,https://github.com/apache/incubator-shenyu.git
karatelabs/karate,karatelabs/karate,https://github.com/karatelabs/karate.git
pentaho/pentaho-kettle,pentaho/pentaho-kettle,https://github.com/pentaho/pentaho-kettle.git
quartz-scheduler/quartz,quartz-scheduler/quartz,https://github.com/quartz-scheduler/quartz.git
hazelcast/hazelcast,hazelcast/hazelcast,https://github.com/hazelcast/hazelcast.git
mapstruct/mapstruct,mapstruct/mapstruct,https://github.com/mapstruct/mapstruct.git
flowable/flowable-engine,flowable/flowable-engine,https://github.com/flowable/flowable-engine.git
spring-projects/spring-security-oauth,spring-projects/spring-security-oauth,https://github.com/spring-projects/spring-security-oauth.git
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix.git
sofastack/sofa-boot,sofastack/sofa-boot,https://github.com/sofastack/sofa-boot.git
trinodb/trino,trinodb/trino,https://github.com/trinodb/trino.git
