date, value
2022-01-20 17:37, 12181
2022-01-20 15:43, 12656
2022-01-20 15:29, 12656
2022-01-20 09:53, 12654
2022-01-19 21:35, 12654
2022-01-19 17:27, 12580
2022-01-19 15:46, 12654
2022-01-19 08:06, 12343
2022-01-19 07:17, 12654
2022-01-19 02:49, 12343
2022-01-19 01:36, 12580
2022-01-18 18:05, 12343
2022-01-18 08:57, 12654
2022-01-17 13:20, 12580
2022-01-17 07:41, 12156
2022-01-15 17:18, 12288
2022-01-15 16:50, 12654
2022-01-15 06:56, 12580
2022-01-15 00:33, 12287
2022-01-14 15:56, 12285
2022-01-14 15:22, 12576
2022-01-14 11:21, 12152
2022-01-13 14:30, 12576
2022-01-13 13:36, 12152
2022-01-13 09:06, 12152
2022-01-12 23:43, 12576
2022-01-12 22:03, 12151
2022-01-12 13:33, 12575
2022-01-12 12:51, 12151
2022-01-12 10:28, 12575
2022-01-12 08:29, 12151
2022-01-11 16:24, 12575
2022-01-11 13:38, 12283
2022-01-10 15:25, 12646
2022-01-09 21:25, 12278
2022-01-08 18:57, 12644
2022-01-07 14:04, 12251
2022-01-06 16:41, 12688
2022-01-05 08:36, 12257
2022-01-04 20:17, 12574
2022-01-04 16:08, 12220
2022-01-04 14:54, 12683
2022-01-04 13:23, 12217
2022-01-04 08:58, 12211
2022-01-03 16:36, 12668
2022-01-03 13:11, 12207
2022-01-03 10:05, 12663
2022-01-03 08:42, 12663
2022-01-03 08:34, 12663
2022-01-03 08:34, 12663
2022-01-02 10:30, 12663
2021-12-30 06:33, 12573
2021-12-27 11:02, 12663
2021-12-24 17:24, 12573
2021-12-21 16:11, 12573
2021-12-21 09:33, 12663
2021-12-21 08:05, 12573
2021-12-21 07:34, 12653
2021-12-21 07:33, 12608
2021-12-20 18:51, 12578
2021-12-20 11:37, 12199
2021-12-20 09:46, 12570
2021-12-20 08:57, 12149
2021-12-18 16:53, 12149
2021-12-18 07:52, 12149
2021-12-17 15:08, 12149
2021-12-17 09:48, 12149
2021-12-16 21:49, 12557
2021-12-16 16:51, 12185
2021-12-16 06:18, 12554
2021-12-15 15:41, 12177
2021-12-15 14:11, 12548
2021-12-15 14:11, 12548
2021-12-15 13:01, 12149
2021-12-15 13:01, 12149
2021-12-15 08:31, 12177
2021-12-14 14:07, 12149
2021-12-14 08:50, 12537
2021-12-13 08:23, 12543
2021-12-10 14:08, 12543
2021-12-10 09:59, 12145
2021-12-10 07:16, 12537
2021-12-09 22:41, 12543
2021-12-09 14:48, 12539
2021-12-09 14:09, 12537
2021-12-09 12:44, 12537
2021-12-07 20:11, 12162
2021-12-02 10:31, 12158
2021-12-01 14:39, 12532
2021-11-30 20:32, 12156
2021-11-30 15:55, 12187
2021-11-30 15:39, 12316
2021-11-30 15:37, 12528
2021-11-29 18:24, 12532
2021-11-28 10:18, 12532
2021-11-25 08:34, 12532
2021-11-23 18:13, 12138
2021-11-19 20:15, 12532
2021-11-19 13:36, 12532
2021-11-18 13:58, 12522
2021-11-18 11:35, 12142
2021-11-17 14:03, 12520
2021-11-17 10:04, 11708
2021-11-16 15:24, 12520
2021-11-16 08:08, 12140
2021-11-16 07:34, 12140
2021-11-15 18:58, 12516
2021-11-15 12:47, 12140
2021-11-14 07:19, 11708
2021-11-13 15:17, 12140
2021-11-12 13:05, 12140
2021-11-11 09:59, 11708
2021-11-11 08:56, 11708
2021-11-09 18:44, 12515
2021-11-09 07:51, 12515
2021-11-08 22:37, 12513
2021-11-08 21:07, 11708
2021-11-08 07:59, 12139
2021-11-08 07:29, 11707
2021-11-05 12:37, 12511
2021-11-05 10:07, 12138
2021-11-05 09:05, 11707
2021-11-01 08:00, 12511
2021-10-29 14:49, 12139
2021-10-29 10:12, 12138
2021-10-28 13:27, 12137
2021-10-28 11:27, 12137
2021-10-28 06:42, 12510
2021-10-23 05:31, 12510
2021-10-22 14:19, 11706
2021-10-22 09:27, 12508
2021-10-21 18:11, 12508
